nombre_raw;nombre_es
Argentina;Argentina
Bolivia;Bolivia
Brazil;Brasil
Chile;Chile
Colombia;Colombia
Cuba;Cuba
Ecuador;Ecuador
El Salvador;El Salvador
Guatemala;Guatemala
Japan;Japón
Mexico;México
Nigeria;Nigeria
Palestine;Palestina
Panama;Panamá
Paraguay;Paraguay
Peru;Perú
Senegal;Senegal
Syria;Siria
United States;Estados Unidos
Uruguay;Uruguay
Venezuela;Venezuela
Armenia;Armenia
Croatia;Croacia
Denmark;Dinamarca
England;Inglaterra
France;Francia
Germany;Alemania
Greece;Grecia
Israel;Israel
Italy;Italia
Lebanon;Líbano
Poland;Polonia
Portugal;Portugal
Spain;España
Switzerland;Suiza
Belgium;Bélgica
Cote d'Ivoire;Costa de Marfil
Canada;Canadá
